Date,BTC_close,BTC_open,BTC_high,BTC_low
10/1/13,123.65499,124.30466,124.75166,122.56349
10/2/13,125.455,123.65499,125.7585,123.63383
10/3/13,108.58483,125.455,125.66566,83.32833
10/4/13,118.67466,108.58483,118.675,107.05816
10/5/13,121.33866,118.67466,121.93633,118.00566
10/6/13,120.65533,121.33866,121.85216,120.5545
10/7/13,121.795,120.65533,121.99166,120.43199
10/8/13,123.033,121.795,123.64016,121.35066
10/9/13,124.049,123.033,124.7835,122.59266
10/10/13,125.96116,124.049,128.01683,123.81966
10/11/13,125.27966,125.96116,126.43666,124.11383
10/12/13,125.9275,125.27966,126.0365,123.12966
10/13/13,126.38333,125.9275,126.8965,125.2765
10/14/13,135.24199,126.38333,135.24199,126.255
10/15/13,133.20333,135.24199,135.69216,130.39275
10/16/13,142.76333,133.20333,143.60483,132.94933
10/17/13,137.92333,142.76333,145.601,136.01466
10/18/13,142.95166,137.92333,144.311,137.53966
10/19/13,152.55183,142.95166,152.6685,142.47949
10/20/13,160.33883,152.55183,167.07999,152.5135
10/21/13,164.31499,160.33883,164.3315,159.89666
10/22/13,177.63333,164.31499,177.71166,163.87149
10/23/13,188.29716,177.63333,188.82383,177.11399
10/24/13,200.70166,188.29716,202.34333,185.81683
10/25/13,180.355,200.70166,201.33316,158.72216
10/26/13,175.03166,180.355,184.09033,162.56466
10/27/13,177.6965,175.03166,180.3185,174.74483
10/28/13,187.15983,177.6965,188.3985,174.9035
10/29/13,192.75666,187.15983,192.83983,185.88116
10/30/13,197.4,192.75666,198.41366,191.62716
10/31/13,196.02499,197.4,198.79333,192.83366
11/1/13,198.04883,196.02499,198.57,195.02916
11/2/13,198.93233,198.04883,199.09783,195.49
11/3/13,200.543,198.93233,201.24116,198.71016
11/4/13,210.3075,200.543,211.17133,200.296
11/5/13,225.02,210.3075,227.02833,209.23333
11/6/13,248.25333,225.02,248.32116,221.84833
11/7/13,262.32666,248.25333,262.67166,242.95166
11/8/13,294.48699,262.32666,294.48749,260.45166
11/9/13,331.10325,294.48699,343.67975,293.48749
11/10/13,285.8875,331.10325,355.2275,277.25275
11/11/13,304.97974,285.8875,323.27249,260.70325
11/12/13,338.137,304.97974,339.795,303.6505
11/13/13,357.48,338.137,358.94999,336.30775
11/14/13,402.954,357.48,409.51,350.20999
11/15/13,409.10375,402.954,415.93975,383.5775
11/16/13,420.21649,409.10375,427.90425,386.565
11/17/13,437.29725,420.21649,437.9695,415.1975
11/18/13,510.6025,437.29725,512.16999,436.13324
11/19/13,693.65,510.6025,781.82624,491.585
11/20/13,531.54249,693.65,716.825,394.90624
11/21/13,574.71599,531.54249,580.11375,428.9815
11/22/13,681.33,574.71599,705.49725,570.78025
11/23/13,774.18,681.33,775.6525,651.89599
11/24/13,746.19374,774.18,823.41525,691.6925
11/25/13,768.8475,746.19374,787.2475,707.75149
11/26/13,789.36475,768.8475,793.71424,739.8375
11/27/13,893.1815,789.36475,904.585,787.19
11/28/13,934.355,893.1815,965.2525,870.38525
11/29/13,1068.363,934.355,1084.9466,912.931
11/30/13,1154.92593,1068.363,1157.49894,1028.22683
12/1/13,1099.51926,1154.92593,1156.02831,1099.2065
12/2/13,1019.78966,1099.51926,1099.70754,783.68616
12/3/13,1028.845,1019.78966,1049.67916,929.95483
12/4/13,1071.2848,1028.845,1092.83331,1021.177
12/5/13,1139.33083,1071.2848,1151.29749,1066.87277
12/6/13,1004.61633,1139.33083,1144.36916,870.3838
12/7/13,759.43041,1004.61633,1038.55,656.87499
12/8/13,689.81,759.43041,826.32766,558.08333
12/9/13,841.83966,689.81,845.85092,682.71342
12/10/13,916.77599,841.83966,948.68183,809.91748
12/11/13,967.42866,916.77599,1004.93666,900.68016
12/12/13,866.29003,967.42866,975.62383,832.22683
12/13/13,911.23204,866.29003,919.30033,843.4055
12/14/13,889.81946,911.23204,933.17016,859.44999
12/15/13,848.9975,889.81946,897.30915,848.25583
12/16/13,868.95316,848.9975,886.23583,819.43828
12/17/13,653.80483,868.95316,876.21516,636.15056
12/18/13,654.06266,653.80483,757.02366,647.62209
12/19/13,553.69166,654.06266,654.06266,422.497
12/20/13,693.05883,553.69166,710.3255,545.53966
12/21/13,649.38965,693.05883,733.23666,598.06131
12/22/13,595.95883,649.38965,651.8435,580.72816
12/23/13,647.68316,595.95883,671.59166,594.36595
12/24/13,671.58116,647.68316,685.3675,632.5431
12/25/13,659.84333,671.58116,675.614,645.78333
12/26/13,702.00083,659.84333,720.22498,651.53
12/27/13,758.01016,702.00083,780.93666,698.07
12/28/13,734.01166,758.01016,772.90666,723.98666
12/29/13,717.92623,734.01166,753.83333,705.1025
12/30/13,752.82022,717.92623,759.6362,713.751
12/31/13,744.17249,752.82022,763.83,743.7
1/1/14,768.40783,744.17249,772.959,733.19433
1/2/14,769.09849,768.40783,774.26333,750.52516
1/3/14,804.02719,769.09849,826.34166,768.15367
1/4/14,813.31748,804.02719,839.85833,798.11833
1/5/14,871.11583,813.31748,873.98,808.71666
1/6/14,970.65083,871.11583,972.00354,861.25831
1/7/14,962.46447,970.65083,1023.16666,914.76666
1/8/14,855.75933,962.46447,970.22516,788.70166
1/9/14,860.84166,855.75933,886.02916,822.32296
1/10/14,847.5325,860.84166,880.64166,814.17054
1/11/14,892.26115,847.5325,902.035,837.57458
1/12/14,916.69666,892.26115,940.495,876.57666
1/13/14,873.27168,916.69666,920.71733,857.73833
1/14/14,863.69888,873.27168,873.27168,821.00333
1/15/14,853.25666,863.69888,871.11385,839.125
1/16/14,874.07416,853.25666,888.88519,853.25666
1/17/14,842.19173,874.07416,879.62999,841.27916
1/18/14,834.86666,842.19173,854.32827,810.22333
1/19/14,838.42916,834.86666,850.56666,834.08333
1/20/14,881.87583,838.42916,885.16166,834.77499
1/21/14,873.28916,881.87583,882.45166,857.84584
1/22/14,874.13266,873.28916,876.14065,861.77833
1/23/14,864.56116,874.13266,874.13266,854.05916
1/24/14,838.14997,864.56116,866.45964,834.99822
1/25/14,834.57416,838.14997,838.26,810.64042
1/26/14,858.12641,834.57416,876.24165,833.72638
1/27/14,887.08337,858.12641,899.2283,851.74833
1/28/14,830.53133,887.08337,887.37698,800.03833
1/29/14,832.89496,830.53133,860.24269,798.18333
1/30/14,832.87399,832.89496,846.92594,832.25583
1/31/14,841.48914,832.87399,855.86653,816.05635
2/1/14,847.36383,841.48914,852.3975,839.53166
2/2/14,854.7225,847.36383,869.4796,843.35344
2/3/14,856.03366,854.7225,882.43124,850.30816
2/4/14,847.70697,856.03366,856.03366,842.73749
2/5/14,844.28836,847.70697,852.26152,839.72962
2/6/14,802.75333,844.28836,846.35105,793.63344
2/7/14,748.43559,802.75333,815.79724,738.61499
2/8/14,692.66914,748.43559,758.33833,658.83333
2/9/14,668.86463,692.66914,721.64138,657.87721
2/10/14,700.44843,668.86463,711.97109,662.74428
2/11/14,694.3125,700.44843,702.36822,535.55166
2/12/14,665.7975,694.3125,710.6525,635.23249
2/13/14,645.615,665.7975,671.9975,633.395
2/14/14,578.4125,645.615,653.355,532.3125
2/15/14,641.91,578.4125,696.75,553.075
2/16/14,656.2725,641.91,657.99749,626.80499
2/17/14,611.04499,656.2725,657.2725,576.025
2/18/14,634.99,611.04499,653.75,603.0675
2/19/14,618.79,634.99,641.37249,607.9425
2/20/14,619.8425,618.79,625.4225,612.5025
2/21/14,545.7625,619.8425,620.84,525.0725
2/22/14,561.535,545.7625,581.24,538.12249
2/23/14,622.22,561.535,622.22,554.3525
2/24/14,572.7675,622.22,637.5025,567.5
2/25/14,501.155,572.7675,583.135,492.8925
2/26/14,550.6025,501.155,562.54499,418.755
2/27/14,573.1025,550.6025,599.505,548.98749
2/28/14,567.2925,573.1025,583.7825,558.2225
3/1/14,551.73,567.2925,570.7875,535.87
3/2/14,560.195,551.73,570.0025,548.7825
3/3/14,567.7,560.195,568.275,550.74749
3/4/14,666.1475,567.7,681.615,562.3025
3/5/14,660.84,666.1475,698.05,653.525
3/6/14,662.0225,660.84,666.3275,643.525
3/7/14,651.285,662.0225,663.74,644.345
3/8/14,612.33,651.285,653.98249,611.02
3/9/14,611.1625,612.33,626.25,600.99249
3/10/14,637.615,611.1625,644.8825,610.0675
3/11/14,626,637.615,642.5275,610.995
3/12/14,633.74749,626,645.75,615.2725
3/13/14,631.755,633.74749,639.5375,627.3925
3/14/14,636.41414,631.755,641.66999,631.315
3/15/14,628.18751,636.41414,636.75668,624.77166
3/16/14,632.95333,628.18751,636,625.54183
3/17/14,630.34833,632.95333,635.24333,627.48
3/18/14,617.24333,630.34833,630.77666,616.17333
3/19/14,616.86665,617.24333,621.47168,599.75998
3/20/14,601.015,616.86665,621.18353,601.00996
3/21/14,581.33333,601.015,604.52831,579.55331
3/22/14,570.36168,581.33333,605.15331,563.46166
3/23/14,562.95333,570.36168,571.86663,550.60331
3/24/14,557.16833,562.95333,570.33081,551.16331
3/25/14,573.34998,557.16833,587.98666,552.12997
3/26/14,572.49161,573.34998,585.57499,570.43831
3/27/14,570.54833,572.49161,589.95497,561.61165
3/28/14,509.70665,570.54833,571.57667,471.01833
3/29/14,499.24998,509.70665,525.16333,487.16333
3/30/14,486.80845,499.24998,504.21231,483.5116
3/31/14,472.4783,486.80845,486.80845,443.26166
4/1/14,464.88,472.4783,472.4783,442.19166
4/2/14,480.16581,464.88,500.64066,459.6783
4/3/14,427.87498,480.16581,494.98333,419.705
4/4/14,432.99716,427.87498,456.34863,414.41333
4/5/14,453.87148,432.99716,455.99333,428.63
4/6/14,462.445,453.87148,465.63773,444.13629
4/7/14,456.46948,462.445,466.475,450.80566
4/8/14,452.81,456.46948,458.925,443.71861
4/9/14,450.48083,452.81,456.88188,446.71668
4/10/14,426.98333,450.48083,453.06422,423.82189
4/11/14,374.59166,426.98333,427.5385,344.22166
4/12/14,438.24666,374.59166,438.24666,374.59166
4/13/14,423.51566,438.24666,438.91098,413.08833
4/14/14,409.03166,423.51566,425.68516,394.1018
